cycle,event,partition,warp,opcode,dst,src1,src2,latency,info
4414,ISSUE,0,2,LD,1,3,None,4,""
4415,ISSUE,0,3,LD,1,3,None,4,""
4418,ISSUE,0,2,LD,2,4,None,4,""
4419,ISSUE,0,3,LD,2,4,None,4,""
4419,COMPLETE,0,2,ALU,0,-1,-1,0,""
4420,COMPLETE,0,3,ALU,0,-1,-1,0,""
4609,COMPLETE,0,4,LD,2,-1,-1,0,""
4610,ISSUE,0,4,FFMA,0,1,2,4,""
4610,COMPLETE,0,5,LD,2,-1,-1,0,""
4611,ISSUE,0,5,FFMA,0,1,2,4,""
4614,ISSUE,0,4,LD,1,3,None,4,""
4615,ISSUE,0,5,LD,1,3,None,4,""
4618,ISSUE,0,4,LD,2,4,None,4,""
4619,ISSUE,0,5,LD,2,4,None,4,""
4619,COMPLETE,0,4,ALU,0,-1,-1,0,""
4620,COMPLETE,0,5,ALU,0,-1,-1,0,""
4809,COMPLETE,0,6,LD,2,-1,-1,0,""
4810,ISSUE,0,6,FFMA,0,1,2,4,""
4810,COMPLETE,0,7,LD,2,-1,-1,0,""
4811,ISSUE,0,7,FFMA,0,1,2,4,""
4814,ISSUE,0,6,LD,1,3,None,4,""
4815,ISSUE,0,7,LD,1,3,None,4,""
4818,ISSUE,0,6,LD,2,4,None,4,""
4819,ISSUE,0,7,LD,2,4,None,4,""
4819,COMPLETE,0,6,ALU,0,-1,-1,0,""
4820,COMPLETE,0,7,ALU,0,-1,-1,0,""
